"id","Season","Opponents","Result","Shots_on_target_against","Goals_conceded","Saves","Save_percentage","Post_shot_expected_goals","Post_shot_expected_goals_without_conceded_goals","Passes_launched","Passes_attempted","Pass_completion_percent","Gk_passes_attempted_without_goal_kicks","Throws_attempted","Launch_percentage","Avg_length","Crosses_faced","Crosses_stopped","Crosses_stopped_percent","Def_actions_outside_pen_area","Avg_distance_of_def_actions"
101,"2019-2020","Athletic Club","L",5,1,4,"80.0%",0.7,-0.3,4,8,"50.0%",28,9,"21.4%",27.4,10,20,"31.7%",9,1
102,"2019-2020","Betis","W",3,2,1,"33.3%",1.2,-0.8,4,4,"100.0%",19,1,"21.1%",26,3,0,"21.3%",2,0
103,"2019-2020","Osasuna","D",5,2,3,"80.0%",1.6,-0.4,2,4,"50.0%",26,4,"7.7%",21.4,9,22.2,"26.4%",14,0
104,"2019-2020","Valencia","W",3,2,1,"33.3%",1.9,-0.1,0,2,"0.0%",19,4,"10.5%",24,4,0,"21.5%",6,1
105,"2019-2020","de Dortmund","D",4,0,3,"100.0%",2.7,+2.7,2,2,"100.0%",23,5,"8.7%",23.4,8,0,"21.4%",13,0
106,"2019-2020","Granada","L",4,2,2,"75.0%",2.2,+0.2,2,4,"50.0%",23,3,"8.7%",25.1,5,40,"31.6%",6,1
107,"2019-2020","Villarreal","W",3,1,2,"66.7%",0.4,-0.6,3,6,"50.0%",29,6,"10.3%",26.6,8,37.5,"39.8%",8,0
108,"2019-2020","Getafe","W",1,0,1,"100.0%",0.4,+0.4,8,12,"66.7%",26,5,"23.1%",29.8,12,50,"37.1%",11,0
109,"2019-2020","it Inter","W",3,1,2,"66.7%",0.6,-0.4,2,4,"50.0%",21,4,"14.3%",28.9,5,20,"23.6%",5,1
110,"2019-2020","Sevilla","W",4,0,4,"100.0%",0.7,+0.7,1,8,"12.5%",31,5,"16.1%",26.6,11,27.3,"32.9%",20,1
111,"2019-2020","Eibar","W",0,0,0,0,0,0.0,6,9,"66.7%",28,7,"21.4%",28.8,11,27.3,"25.5%",17,0
112,"2019-2020","cz Slavia Prague","W",9,1,8,"88.9%",2.4,+1.4,5,8,"62.5%",20,5,"25.0%",31.1,10,30,"35.5%",17,1
113,"2019-2020","Valladolid","W",1,1,0,"0.0%",0.9,-0.1,4,6,"66.7%",21,1,"19.0%",29.3,5,40,"32.4%",7,1
114,"2019-2020","Levante","L",3,3,0,"0.0%",0.9,-2.1,3,5,"60.0%",27,4,"18.5%",29.5,5,0,"24.0%",9,0
115,"2019-2020","cz Slavia Prague","D",0,0,0,0,0,0.0,2,8,"25.0%",33,4,"18.2%",28.9,10,20,"25.9%",10,1
116,"2019-2020","Celta Vigo","W",5,1,4,"80.0%",1,0.0,1,4,"25.0%",29,6,"10.3%",28.8,4,25,"25.8%",11,1
117,"2019-2020","Leganés","W",4,1,3,"75.0%",0.9,-0.1,1,1,"100.0%",20,10,"5.0%",25.5,9,0,"21.8%",5,1
118,"2019-2020","de Dortmund","W",4,1,3,"75.0%",1.4,+0.4,3,6,"50.0%",27,7,"14.8%",26,6,33.3,"35.3%",2,0
119,"2019-2020","Atlético Madrid","W",2,0,2,"100.0%",0.2,+0.2,6,7,"85.7%",22,7,"27.3%",30.3,8,12.5,"31.9%",20,2
120,"2019-2020","Mallorca","W",3,2,1,"33.3%",0.9,-1.1,3,4,"75.0%",17,1,"17.6%",27.5,7,14.3,"25.7%",7,0
121,"2019-2020","it Inter","W",8,1,7,"87.5%",1.6,+0.6,5,16,"31.3%",40,11,"30.0%",31.2,10,40,"33.9%",19,0
122,"2019-2020","Real Sociedad","D",5,2,3,"80.0%",2.7,+0.7,4,10,"40.0%",28,6,"14.3%",24.6,12,50,"42.4%",16,1
123,"2019-2020","Real Madrid","D",3,0,3,"100.0%",0.6,+0.6,4,12,"33.3%",44,8,"13.6%",24.5,9,66.7,"44.6%",24,0
124,"2019-2020","Alavés","W",3,1,2,"66.7%",1.2,+0.2,4,4,"100.0%",30,6,"13.3%",28.9,2,0,"21.5%",9,2
125,"2019-2020","Espanyol","D",3,2,1,"33.3%",1.6,-0.4,3,7,"42.9%",30,3,"16.7%",25.6,9,22.2,"24.3%",14,1
126,"2019-2020","Atlético Madrid","L",5,3,3,"60.0%",0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
127,"2019-2020","Granada","W",1,0,1,"100.0%",0,0.0,1,1,"100.0%",28,3,"3.6%",20.8,3,0,"10.3%",3,0
128,"2019-2020","Ibiza","W",2,1,1,"50.0%",0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
129,"2019-2020","Valencia","L",6,2,3,"66.7%",1.8,-0.2,1,3,"33.3%",21,4,"14.3%",25.8,2,0,"22.5%",11,1
130,"2019-2020","Leganés","W",3,0,3,"100.0%",0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
131,"2019-2020","Levante","W",5,1,4,"80.0%",1.1,+0.1,4,4,"100.0%",45,4,"6.7%",18.4,10,10,"16.0%",11,1
132,"2019-2020","Athletic Club","L",2,1,1,"50.0%",0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
133,"2019-2020","Betis","W",3,2,1,"66.7%",1.3,-0.7,3,9,"33.3%",51,4,"15.7%",26.6,2,50,"34.5%",2,0
134,"2019-2020","Getafe","W",2,1,1,"50.0%",0.9,-0.1,3,12,"25.0%",65,2,"16.9%",27.4,9,11.1,"17.0%",10,0
135,"2019-2020","Eibar","W",5,0,5,"100.0%",0.9,+0.9,5,12,"41.7%",59,10,"18.6%",24.1,6,16.7,"22.7%",11,0
136,"2019-2020","it Napoli","D",4,1,3,"75.0%",0.7,-0.3,1,6,"16.7%",25,3,"24.0%",30,2,0,"20.5%",8,0
137,"2019-2020","Real Madrid","L",4,2,2,"50.0%",0.6,-1.4,3,5,"60.0%",34,4,"14.7%",23.3,11,0,"19.0%",16,0
138,"2019-2020","Real Sociedad","W",1,0,1,"100.0%",0,0.0,4,14,"28.6%",42,6,"31.0%",29.4,10,10,"18.8%",10,1
139,"2019-2020","Mallorca","W",3,0,3,"100.0%",0.4,+0.4,4,8,"50.0%",69,7,"10.1%",22.3,7,14.3,"23.0%",17,1
140,"2019-2020","Leganés","W",1,0,1,"100.0%",0.1,+0.1,2,3,"66.7%",38,4,"5.3%",21.7,2,50,"34.5%",7,0
141,"2019-2020","Sevilla","D",4,0,4,"100.0%",0.7,+0.7,3,6,"50.0%",31,2,"19.4%",24.7,4,0,"8.3%",10,0
142,"2019-2020","Athletic Club","W",0,0,0,0,0,0.0,3,6,"50.0%",44,5,"9.1%",23.7,6,33.3,"36.8%",11,1
143,"2019-2020","Celta Vigo","D",6,2,4,"66.7%",2.1,+0.1,7,12,"58.3%",41,2,"29.3%",31.5,1,0,"12.0%",4,0
144,"2019-2020","Atlético Madrid","D",3,2,1,"100.0%",2,0.0,4,6,"66.7%",33,4,"15.2%",25.5,8,12.5,"22.0%",9,0
145,"2019-2020","Villarreal","W",4,1,3,"75.0%",1,0.0,7,12,"58.3%",43,3,"25.6%",27.4,4,25,"20.8%",5,0
146,"2019-2020","Espanyol","W",2,0,2,"100.0%",0.4,+0.4,3,6,"50.0%",29,7,"6.9%",26.6,7,57.1,"44.4%",11,0
147,"2019-2020","Valladolid","W",4,0,4,"100.0%",1.2,+1.2,3,7,"42.9%",40,8,"12.5%",25.7,8,25,"31.0%",24,1
148,"2019-2020","Osasuna","L",5,2,3,"60.0%",1.8,-0.2,2,3,"66.7%",26,5,"11.5%",25.2,5,0,"29.0%",6,0
149,"2019-2020","Alavés","W",0,0,0,0,0,0.0,2,3,"66.7%",16,2,"12.5%",22.6,6,16.7,"24.0%",8,0
150,"2019-2020","it Napoli","W",3,1,2,"100.0%",1.2,+0.2,2,6,"33.3%",39,7,"15.4%",23.9,5,0,"18.6%",18,0
151,"2019-2020","de Bayern Munich","L",13,8,5,"38.5%",6.6,-1.4,4,11,"36.4%",34,7,"29.4%",30.4,11,9.1,"17.5%",11,0
152,"2020-2021","Villarreal","W",1,0,1,"100.0%",0.1,+0.1,3,3,"100.0%",27,7,"11.1%",24.1,5,0,"13.0%",13,0
153,"2020-2021","Celta Vigo","W",3,0,3,"100.0%",0.3,+0.3,4,15,"26.7%",29,4,"34.5%",31.8,8,62.5,"48.5%",12,0
154,"2020-2021","Sevilla","D",1,1,0,"0.0%",0.1,-0.9,1,6,"16.7%",35,3,"17.1%",25.9,12,0,"12.9%",10,0
155,"2020-2021","Getafe","L",4,1,3,"100.0%",1.5,+0.5,1,2,"50.0%",26,9,"7.7%",22.6,7,0,"15.4%",14,2
156,"2020-2021","hu Ferencváros","W",2,1,1,"100.0%",1.3,+0.3,3,4,"75.0%",17,2,"11.8%",22.7,6,33.3,"35.2%",6,0
157,"2020-2021","Real Madrid","L",9,3,6,"77.8%",3.9,+0.9,2,3,"66.7%",11,3,"9.1%",23.1,8,25,"26.4%",10,0
158,"2020-2021","it Juventus","W",0,0,0,0,0,0.0,2,13,"15.4%",36,6,"22.2%",25.7,10,50,"40.3%",10,0
159,"2020-2021","Alavés","D",3,1,2,"66.7%",1.3,+0.3,0,0,"%",24,5,"0.0%",18.1,1,0,"4.0%",5,0
160,"2020-2021","ua Dynamo Kyiv","W",7,1,6,"85.7%",3.4,+2.4,1,1,"100.0%",17,5,"0.0%",19.7,6,16.7,"22.2%",13,0
161,"2020-2021","Betis","W",6,2,4,"66.7%",1.4,-0.6,4,6,"66.7%",32,5,"9.4%",23.3,6,50,"37.8%",9,0
162,"2020-2021","Atlético Madrid","L",2,1,1,"50.0%",0.5,-0.5,2,3,"66.7%",18,4,"11.1%",26.9,5,20,"32.8%",13,1
163,"2020-2021","ua Dynamo Kyiv","W",3,0,3,"100.0%",0.2,+0.2,0,1,"0.0%",22,2,"0.0%",21.5,5,20,"26.2%",6,0
164,"2020-2021","Osasuna","W",5,0,5,"100.0%",0.9,+0.9,4,5,"80.0%",34,7,"5.9%",23.1,8,37.5,"36.4%",20,1
165,"2020-2021","hu Ferencváros","W",2,0,2,"100.0%",0.5,+0.5,0,0,"%",17,6,"0.0%",18.6,6,0,"18.5%",10,0
166,"2020-2021","Cádiz","L",3,2,1,"33.3%",2.7,+0.7,0,0,"%",19,8,"0.0%",21.6,4,0,"24.3%",8,1
167,"2020-2021","it Juventus","L",4,3,1,"75.0%",2.4,-0.6,5,8,"62.5%",26,2,"26.9%",30.9,5,20,"26.0%",7,0
168,"2020-2021","Levante","W",3,0,3,"100.0%",0.6,+0.6,6,6,"100.0%",22,6,"18.2%",25.8,6,33.3,"32.3%",6,0
169,"2020-2021","Real Sociedad","W",5,1,4,"80.0%",1.7,+0.7,11,20,"55.0%",34,2,"47.1%",39.1,4,100,"60.5%",5,0
170,"2020-2021","Valencia","D",4,2,2,"50.0%",1.8,-0.2,5,9,"55.6%",25,5,"32.0%",32,8,12.5,"22.6%",7,1
171,"2020-2021","Valladolid","W",5,0,5,"100.0%",0.3,+0.3,7,12,"58.3%",32,5,"25.0%",30.1,11,36.4,"43.7%",12,1
172,"2020-2021","Eibar","D",3,1,2,"66.7%",0.7,-0.3,1,6,"16.7%",35,6,"11.4%",25.1,5,40,"39.2%",19,1
173,"2020-2021","Huesca","W",4,0,4,"100.0%",1,+1.0,2,3,"66.7%",23,7,"8.7%",25.1,3,33.3,"38.0%",8,2
174,"2020-2021","Athletic Club","W",3,2,1,"33.3%",0.7,-1.3,2,4,"50.0%",25,8,"12.0%",29.2,4,25,"39.3%",11,1
175,"2020-2021","Granada","W",4,0,4,"100.0%",0.7,+0.7,1,1,"100.0%",33,8,"0.0%",19.4,7,14.3,"23.1%",11,1
176,"2020-2021","Real Sociedad","D",6,1,6,"100.0%",0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
177,"2020-2021","Athletic Club","L",4,3,1,"25.0%",0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
178,"2020-2021","Cornellà","W",4,0,4,"100.0%",0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
179,"2020-2021","Elche","W",2,0,2,"100.0%",0.6,+0.6,0,0,"%",23,2,"0.0%",18.7,3,0,"26.7%",3,1
180,"2020-2021","Rayo Vallecano","W",4,1,3,"75.0%",0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
181,"2020-2021","Athletic Club","W",2,1,2,"50.0%",0.1,+0.1,2,7,"28.6%",42,6,"14.3%",28.4,3,33.3,"28.0%",10,0
182,"2020-2021","Granada","W",3,3,1,"33.3%",0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
183,"2020-2021","Betis","W",5,2,3,"60.0%",2.2,+0.2,1,5,"20.0%",38,8,"13.2%",25.8,4,0,"19.0%",8,0
184,"2020-2021","Sevilla","L",3,2,1,"33.3%",0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
185,"2020-2021","Alavés","W",2,1,1,"50.0%",0.5,-0.5,2,5,"40.0%",26,2,"19.2%",28.4,3,0,"19.7%",11,0
186,"2020-2021","fr Paris S-G","L",8,4,4,"50.0%",3.9,-0.1,2,2,"100.0%",16,2,"6.3%",20.6,9,11.1,"22.7%",10,0
187,"2020-2021","Cádiz","D",1,1,0,"100.0%",1,0.0,2,2,"100.0%",22,6,"9.1%",21.9,5,0,"26.0%",7,1
188,"2020-2021","Elche","W",1,0,1,"100.0%",0,0.0,0,1,"0.0%",19,1,"5.3%",22.3,4,0,"24.3%",7,0
189,"2020-2021","Sevilla","W",2,0,2,"100.0%",0.4,+0.4,2,8,"25.0%",41,6,"12.2%",25.7,7,42.9,"39.3%",7,0
190,"2020-2021","Sevilla","W",1,0,2,"100.0%",0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
191,"2020-2021","Osasuna","W",3,0,3,"100.0%",0.4,+0.4,2,4,"50.0%",29,6,"10.3%",22.9,7,14.3,"21.3%",20,1
192,"2020-2021","fr Paris S-G","D",3,1,2,"100.0%",1.1,+0.1,2,3,"66.7%",17,4,"17.6%",21.6,4,0,"36.0%",5,0
193,"2020-2021","Huesca","W",4,1,3,"100.0%",1.7,+0.7,2,8,"25.0%",22,4,"18.2%",25.9,6,66.7,"44.7%",7,0
194,"2020-2021","Real Sociedad","W",5,1,4,"80.0%",1.2,+0.2,2,12,"16.7%",51,3,"21.6%",28.2,2,50,"27.0%",2,0
195,"2020-2021","Valladolid","W",2,0,2,"100.0%",0.1,+0.1,1,2,"50.0%",20,7,"10.0%",27.2,6,0,"24.0%",9,0
196,"2020-2021","Real Madrid","L",3,2,1,"33.3%",0.6,-1.4,2,2,"100.0%",24,4,"4.2%",20.9,9,11.1,"24.4%",8,0
197,"2020-2021","Athletic Club","W",1,0,1,"100.0%",0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
198,"2020-2021","Getafe","W",1,2,0,"0.0%",1,0.0,2,5,"40.0%",35,3,"8.6%",24.7,6,33.3,"33.8%",6,1
199,"2020-2021","Villarreal","W",4,1,3,"75.0%",0.5,-0.5,3,8,"37.5%",38,4,"18.4%",29.4,6,16.7,"28.5%",8,0
200,"2020-2021","Granada","L",2,2,0,"0.0%",0.7,-1.3,2,3,"66.7%",13,1,"23.1%",31.4,8,0,"19.8%",7,0
201,"2020-2021","Valencia","W",4,2,2,"50.0%",1.5,-0.5,3,8,"37.5%",23,7,"21.7%",29.3,4,75,"43.0%",5,0
202,"2020-2021","Atlético Madrid","D",6,0,6,"100.0%",0.6,+0.6,2,5,"40.0%",25,6,"16.0%",28.1,5,20,"28.0%",7,1
203,"2020-2021","Levante","D",6,3,3,"50.0%",1.9,-1.1,1,7,"14.3%",23,5,"26.1%",32.3,3,33.3,"35.7%",17,1
204,"2020-2021","Celta Vigo","L",4,2,2,"50.0%",0.8,-1.2,2,4,"50.0%",35,4,"11.4%",26.5,0,0,"%",5,1
205,"2020-2021","Eibar","W",3,0,3,"100.0%",0.3,+0.3,3,7,"42.9%",37,6,"18.9%",25.1,12,0,"22.5%",22,0
206,"2021-2022","Real Sociedad","W",3,2,1,"33.3%",2,0.0,6,18,"33.3%",42,1,"40.5%",35.7,7,14.3,"21.3%",8,0
207,"2021-2022","Athletic Club","D",6,1,5,"83.3%",1.5,+0.5,9,11,"81.8%",38,10,"23.7%",29.4,12,16.7,"31.8%",26,0
208,"2021-2022","Getafe","W",3,1,2,"66.7%",0.2,-0.8,7,16,"43.8%",40,2,"30.0%",30.3,7,57.1,"39.6%",7,1
209,"2021-2022","de Bayern Munich","L",7,3,4,"57.1%",2.4,-0.6,7,10,"70.0%",37,6,"21.6%",27.8,8,25,"29.4%",8,1
210,"2021-2022","Granada","D",2,1,1,"50.0%",0.7,-0.3,0,1,"0.0%",24,2,"4.2%",24.6,3,0,"14.0%",8,0
211,"2021-2022","Cádiz","D",3,0,3,"100.0%",0.8,+0.8,7,11,"63.6%",28,2,"17.9%",26.6,8,75,"60.0%",22,2
212,"2021-2022","Levante","W",2,0,2,"100.0%",0.7,+0.7,2,4,"50.0%",34,7,"8.8%",21.3,7,14.3,"34.3%",7,0
213,"2021-2022","pt Benfica","L",6,3,3,"66.7%",2.3,-0.7,2,8,"25.0%",33,5,"18.2%",25.2,5,40,"35.6%",8,1
214,"2021-2022","Atlético Madrid","L",3,2,1,"33.3%",1.8,-0.2,4,7,"57.1%",32,2,"6.3%",25.7,8,62.5,"50.6%",5,0
215,"2021-2022","Valencia","W",3,1,2,"66.7%",0.5,-0.5,1,5,"20.0%",29,4,"13.8%",23.6,7,14.3,"21.4%",12,0
216,"2021-2022","ua Dynamo Kyiv","W",0,0,0,0,0,0.0,1,2,"50.0%",20,3,"10.0%",25.1,2,0,"18.0%",2,0
217,"2021-2022","Real Madrid","L",5,2,3,"60.0%",1.8,-0.2,2,4,"50.0%",16,7,"18.8%",27.2,1,100,"80.0%",6,0
218,"2021-2022","Rayo Vallecano","L",3,1,2,"66.7%",0.8,-0.2,4,8,"50.0%",50,8,"14.0%",24.7,8,12.5,"21.6%",8,1
219,"2021-2022","Alavés","D",2,1,1,"50.0%",0.9,-0.1,1,2,"50.0%",20,5,"10.0%",21.9,2,0,"25.0%",4,0
220,"2021-2022","ua Dynamo Kyiv","W",3,0,3,"100.0%",0.2,+0.2,5,10,"50.0%",17,1,"41.2%",34.4,11,27.3,"29.5%",7,0
221,"2021-2022","Celta Vigo","D",4,3,1,"25.0%",1.5,-1.5,8,15,"53.3%",34,4,"23.5%",30.7,13,53.8,"38.8%",19,0
222,"2021-2022","Espanyol","W",2,0,2,"100.0%",0.3,+0.3,2,2,"100.0%",24,7,"4.2%",22.3,8,12.5,"29.1%",10,0
