"id","Season","Opponents","Result","Shots_on_target_against","Goals_conceded","Saves","Save_percentage","Post_shot_expected_goals","Post_shot_expected_goals_without_conceded_goals","Passes_launched","Passes_attempted","Pass_completion_percent","Gk_passes_attempted_without_goal_kicks","Throws_attempted","Launch_percentage","Avg_length","Crosses_faced","Crosses_stopped","Crosses_stopped_percent","Def_actions_outside_pen_area","Avg_distance_of_def_actions"
223,"2021-2022","pt Benfica","D",3,0,3,"100.0%",0.9,+0.9,2,6,"33.3%",42,4,"11.9%",26.7,5,20,"28.0%",4,2
224,"2021-2022","Villarreal","W",2,1,1,"50.0%",0.6,-0.4,5,16,"31.3%",38,1,"36.8%",34.9,12,16.7,"26.6%",14,0
225,"2021-2022","Betis","L",2,1,1,"50.0%",0.8,-0.2,4,5,"80.0%",42,4,"11.9%",22.4,7,0,"18.6%",5,0
226,"2021-2022","de Bayern Munich","L",6,3,3,"50.0%",2.6,-0.4,2,7,"28.6%",34,6,"17.6%",27.1,5,20,"30.2%",7,0
227,"2021-2022","Osasuna","D",3,2,1,"33.3%",0.7,-1.3,3,10,"30.0%",32,4,"25.0%",30.6,4,50,"36.5%",22,0
228,"2021-2022","Elche","W",3,2,1,"33.3%",0.7,-1.3,2,2,"100.0%",32,3,"6.3%",21.2,4,0,"21.8%",5,0
229,"2021-2022","Sevilla","D",1,1,0,"0.0%",0.3,-0.7,1,5,"20.0%",34,3,"8.8%",26,7,28.6,"27.4%",6,1
230,"2021-2022","Mallorca","W",3,0,3,"100.0%",0.5,+0.5,4,9,"44.4%",36,4,"19.4%",28.1,3,66.7,"55.3%",13,0
231,"2021-2022","Linares Dep","W",2,1,1,"50.0%",0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
232,"2021-2022","Granada","D",4,1,3,"75.0%",1.2,+0.2,4,12,"33.3%",34,5,"26.5%",29.6,7,42.9,"35.0%",12,1
233,"2021-2022","Real Madrid","L",8,3,5,"62.5%",0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
234,"2021-2022","Athletic Club","L",6,3,4,"66.7%",0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
235,"2021-2022","Alavés","W",2,0,2,"100.0%",0.3,+0.3,8,12,"66.7%",44,5,"22.7%",28.4,5,40,"40.2%",9,0
236,"2021-2022","Atlético Madrid","W",4,2,2,"50.0%",1.4,-0.6,9,14,"64.3%",24,1,"33.3%",32.2,9,66.7,"46.0%",14,0
237,"2021-2022","Espanyol","D",4,2,2,"50.0%",1.8,-0.2,4,5,"80.0%",18,5,"16.7%",24.4,6,33.3,"24.5%",6,0
238,"2021-2022","it Napoli","D",4,1,3,"75.0%",1.1,+0.1,1,8,"12.5%",39,7,"20.5%",28.1,1,0,"20.0%",6,2
239,"2021-2022","Valencia","W",5,1,4,"80.0%",0.9,-0.1,7,15,"46.7%",35,4,"34.3%",33.8,13,23.1,"29.6%",20,2
240,"2021-2022","it Napoli","W",3,2,1,"66.7%",1.3,-0.7,4,11,"36.4%",39,2,"25.6%",29.8,7,28.6,"22.3%",8,0
241,"2021-2022","Athletic Club","W",3,0,3,"100.0%",0.2,+0.2,2,3,"66.7%",42,4,"7.1%",25.8,2,0,"21.0%",7,0
242,"2021-2022","Elche","W",3,1,2,"66.7%",1.2,+0.2,1,5,"20.0%",23,1,"17.4%",27,11,9.1,"25.5%",17,0
243,"2021-2022","tr Galatasaray","D",1,0,1,"100.0%",0.2,+0.2,0,1,"0.0%",31,5,"3.2%",18.6,1,0,"15.0%",3,0
244,"2021-2022","Osasuna","W",3,0,3,"100.0%",0.2,+0.2,2,3,"66.7%",28,5,"10.7%",21.3,3,0,"24.3%",4,1
245,"2021-2022","tr Galatasaray","W",3,1,2,"66.7%",0.4,-0.6,0,4,"0.0%",25,5,"16.0%",25.7,4,0,"11.0%",4,0
246,"2021-2022","Real Madrid","W",4,0,4,"100.0%",0.5,+0.5,7,10,"70.0%",31,6,"22.6%",29,7,42.9,"34.7%",8,0
247,"2021-2022","Sevilla","W",3,0,3,"100.0%",0.3,+0.3,5,8,"62.5%",27,2,"18.5%",27.3,7,42.9,"37.1%",7,0
248,"2021-2022","de Eint Frankfurt","D",5,1,4,"80.0%",0.9,-0.1,3,7,"42.9%",41,15,"17.1%",25,5,0,"15.6%",14,2
249,"2021-2022","Levante","W",5,2,2,"100.0%",3.7,+1.7,7,12,"58.3%",32,6,"28.1%",31.1,4,75,"48.0%",8,1
250,"2021-2022","de Eint Frankfurt","L",7,3,4,"71.4%",2.6,-0.4,4,7,"57.1%",24,4,"16.7%",27.7,7,42.9,"31.1%",4,0
251,"2021-2022","Cádiz","L",4,1,3,"75.0%",1.1,+0.1,1,1,"100.0%",28,6,"3.6%",19.7,6,0,"32.5%",3,0
252,"2021-2022","Real Sociedad","W",5,0,5,"100.0%",0.8,+0.8,5,11,"45.5%",25,6,"36.0%",35.5,8,25,"27.3%",23,1
253,"2021-2022","Rayo Vallecano","L",1,1,0,"0.0%",0.3,-0.7,1,6,"16.7%",37,6,"13.5%",26.1,3,33.3,"43.3%",4,0
254,"2021-2022","Mallorca","W",2,1,1,"50.0%",0.5,-0.5,2,3,"66.7%",14,1,"7.1%",23.5,6,33.3,"28.7%",3,0
255,"2021-2022","Betis","W",5,1,4,"80.0%",0.6,-0.4,2,5,"40.0%",26,7,"15.4%",28.3,6,16.7,"31.0%",8,0
256,"2021-2022","Celta Vigo","W",5,1,4,"80.0%",1.6,+0.6,4,7,"57.1%",35,3,"20.0%",27.7,3,0,"21.7%",11,2
257,"2021-2022","Getafe","D",3,0,3,"100.0%",0.3,+0.3,3,5,"60.0%",25,4,"20.0%",28.4,4,0,"14.8%",8,1
258,"2021-2022","Villarreal","L",3,2,1,"33.3%",0.3,-1.7,1,1,"100.0%",25,8,"4.0%",21.2,2,0,"14.5%",5,1
259,"2022-2023","Rayo Vallecano","D",2,0,2,"100.0%",0.4,+0.4,6,8,"75.0%",53,5,"13.2%",24.2,7,14.3,"24.7%",7,0
260,"2022-2023","Real Sociedad","W",5,1,4,"80.0%",1.3,+0.3,3,9,"33.3%",35,5,"22.9%",29.5,5,20,"37.8%",7,0
261,"2022-2023","Valladolid","W",2,0,2,"100.0%",0.7,+0.7,1,3,"33.3%",23,2,"8.7%",23.4,5,20,"38.0%",7,2
262,"2022-2023","Sevilla","W",4,0,4,"100.0%",1.1,+1.1,7,14,"50.0%",41,4,"29.3%",29.3,4,50,"46.8%",12,0
263,"2022-2023","cz Viktoria Plzeň","W",1,1,0,"0.0%",0.6,-0.4,1,3,"33.3%",22,5,"13.6%",24.3,7,0,"17.7%",7,0
264,"2022-2023","Cádiz","W",0,0,0,0,0,0.0,5,8,"62.5%",30,4,"20.0%",25.1,10,20,"23.0%",12,1
265,"2022-2023","de Bayern Munich","L",4,2,2,"50.0%",2,0.0,8,11,"72.7%",39,5,"23.1%",29.2,6,33.3,"34.3%",5,0
266,"2022-2023","Elche","W",1,0,1,"100.0%",0,0.0,0,0,"%",18,4,"0.0%",17.8,1,0,"35.0%",2,0
267,"2022-2023","Mallorca","W",3,0,3,"100.0%",0.5,+0.5,4,7,"57.1%",26,7,"15.4%",28.2,7,42.9,"41.0%",14,0
268,"2022-2023","it Inter","L",2,1,1,"50.0%",0.5,-0.5,5,7,"71.4%",21,3,"23.8%",29.9,5,40,"35.6%",8,0
269,"2022-2023","Celta Vigo","W",3,0,3,"100.0%",0.5,+0.5,4,10,"40.0%",33,4,"21.2%",30.3,5,60,"39.2%",14,0
270,"2022-2023","it Inter","D",8,3,5,"62.5%",4,+1.0,4,5,"80.0%",17,7,"17.6%",24.6,4,50,"39.3%",15,0
271,"2022-2023","Real Madrid","L",4,3,1,"50.0%",1.4,-1.6,5,5,"100.0%",22,1,"18.2%",27.2,6,16.7,"23.8%",5,0
272,"2022-2023","Villarreal","W",1,0,1,"100.0%",0,0.0,1,1,"100.0%",16,1,"0.0%",23.4,5,20,"27.4%",2,0
273,"2022-2023","Athletic Club","W",1,0,1,"100.0%",0.4,+0.4,4,10,"40.0%",51,6,"19.6%",28.4,4,0,"24.5%",8,2
274,"2022-2023","de Bayern Munich","L",7,3,4,"57.1%",2.5,-0.5,6,9,"66.7%",35,2,"20.0%",24.5,6,33.3,"32.5%",6,0
275,"2022-2023","Valencia","W",2,0,2,"100.0%",0.4,+0.4,10,13,"76.9%",40,7,"30.0%",32,4,25,"23.5%",9,1
276,"2022-2023","cz Viktoria Plzeň","W",8,2,6,"87.5%",2.9,+0.9,1,3,"33.3%",31,5,"6.5%",20,8,12.5,"24.4%",18,1
277,"2022-2023","Almería","W",1,0,1,"100.0%",0.6,+0.6,5,7,"71.4%",24,2,"29.2%",28.6,0,0,"%",2,0
278,"2022-2023","Osasuna","W",3,1,2,"66.7%",0.5,-0.5,3,20,"15.0%",35,6,"34.3%",33.2,12,66.7,"52.3%",19,2
279,"2022-2023","Espanyol","D",1,1,0,"100.0%",0.9,-0.1,1,3,"33.3%",35,3,"5.7%",24.5,4,25,"31.0%",7,1
280,"2022-2023","Intercity","W",5,3,2,"40.0%",0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
281,"2022-2023","Atlético Madrid","W",3,0,3,"100.0%",0.3,+0.3,5,16,"31.3%",50,6,"26.0%",31.6,9,33.3,"33.3%",19,0
282,"2022-2023","Betis","D",7,2,5,"71.4%",0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
283,"2022-2023","Real Madrid","W",6,1,5,"83.3%",0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
284,"2022-2023","AD Ceuta","W",0,0,0,0,0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
285,"2022-2023","Getafe","W",3,0,3,"100.0%",0.4,+0.4,2,6,"33.3%",28,5,"21.4%",27.7,3,0,"14.7%",8,0
286,"2022-2023","Real Sociedad","W",2,0,2,"100.0%",0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
287,"2022-2023","Girona","W",2,0,2,"100.0%",0.2,+0.2,2,9,"22.2%",27,1,"25.9%",30.7,8,25,"31.0%",15,0
288,"2022-2023","Betis","W",1,1,1,"0.0%",0,0.0,2,4,"50.0%",33,4,"6.1%",25.3,5,40,"38.6%",7,0
289,"2022-2023","Sevilla","W",1,0,1,"100.0%",0,0.0,2,5,"40.0%",37,3,"10.8%",23.6,3,33.3,"30.7%",5,0
290,"2022-2023","Villarreal","W",2,0,2,"100.0%",0.7,+0.7,5,17,"29.4%",31,7,"38.7%",36.7,10,50,"43.4%",16,0
291,"2022-2023","eng Manchester Utd","D",5,2,4,"60.0%",1.5,+0.5,3,4,"75.0%",35,9,"11.4%",25.5,6,0,"24.2%",9,1
292,"2022-2023","Cádiz","W",4,0,4,"100.0%",0.4,+0.4,10,18,"55.6%",42,6,"31.0%",32.1,9,55.6,"39.2%",21,0
293,"2022-2023","eng Manchester Utd","L",5,2,3,"60.0%",1.2,-0.8,5,10,"50.0%",40,7,"22.5%",28.4,8,12.5,"27.9%",6,1
294,"2022-2023","Almería","L",4,1,3,"75.0%",1.4,+0.4,2,2,"100.0%",19,6,"10.5%",25,1,0,"20.0%",10,0
295,"2022-2023","Real Madrid","W",0,0,0,0,0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
296,"2022-2023","Valencia","W",1,0,1,"100.0%",0.3,+0.3,5,11,"45.5%",36,6,"25.0%",30.3,9,22.2,"37.9%",16,1
297,"2022-2023","Athletic Club","W",3,0,3,"100.0%",0.7,+0.7,8,15,"53.3%",41,10,"29.3%",31.1,10,30,"31.7%",16,3
298,"2022-2023","Real Madrid","W",3,1,3,"66.7%",0.3,+0.3,9,12,"75.0%",32,7,"31.3%",30.7,8,25,"31.0%",7,0
299,"2022-2023","Elche","W",2,0,2,"100.0%",0.4,+0.4,4,8,"50.0%",33,2,"21.2%",28.6,7,14.3,"17.1%",24,0
300,"2022-2023","Real Madrid","L",6,4,3,"50.0%",0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
301,"2022-2023","Girona","D",0,0,0,0,0,0.0,8,10,"80.0%",29,2,"27.6%",29.4,5,40,"34.4%",8,0
302,"2022-2023","Getafe","D",1,0,1,"100.0%",0,0.0,11,17,"64.7%",35,8,"40.0%",35.4,6,50,"43.0%",8,0
303,"2022-2023","Atlético Madrid","W",3,0,3,"100.0%",0.6,+0.6,4,12,"33.3%",29,6,"31.0%",33.9,10,30,"34.4%",10,1
304,"2022-2023","Rayo Vallecano","L",6,2,4,"66.7%",1.8,-0.2,7,15,"46.7%",44,10,"31.8%",33.7,7,14.3,"25.6%",14,0
305,"2022-2023","Betis","W",1,0,1,"100.0%",0.3,+0.3,2,2,"100.0%",19,2,"10.5%",21.5,7,0,"14.4%",2,0
306,"2022-2023","Osasuna","W",2,0,2,"100.0%",0.3,+0.3,4,4,"100.0%",23,5,"8.7%",21.9,5,40,"37.8%",3,1
307,"2022-2023","Espanyol","W",7,2,5,"71.4%",2.2,+0.2,5,9,"55.6%",45,7,"17.8%",28.5,7,14.3,"19.9%",9,1
308,"2022-2023","Real Sociedad","L",6,2,4,"66.7%",2.3,+0.3,5,11,"45.5%",39,4,"20.5%",31.2,5,60,"39.2%",7,0
309,"2022-2023","Valladolid","L",4,3,2,"50.0%",1.7,-0.3,2,4,"50.0%",33,6,"12.1%",25.1,5,0,"20.8%",10,0
310,"2022-2023","Mallorca","W",1,0,1,"100.0%",0.3,+0.3,3,4,"75.0%",14,5,"21.4%",27.7,1,100,"70.0%",3,1
311,"2022-2023","Celta Vigo","L",9,2,7,"77.8%",1.9,-0.3,3,9,"33.3%",37,11,"24.3%",29.5,4,0,"16.8%",10,1
312,"2023-2024","Getafe","D",2,0,2,"100.0%",0.2,+0.2,4,4,"100.0%",21,2,"19.0%",25.2,8,0,"22.1%",13,0
313,"2023-2024","Cádiz","W",1,0,1,"100.0%",0.3,+0.3,2,4,"50.0%",15,3,"13.3%",26.1,7,28.6,"28.9%",11,2
314,"2023-2024","Villarreal","W",6,3,3,"50.0%",2.8,-0.2,4,6,"66.7%",25,3,"20.0%",27.8,2,50,"36.0%",5,0
315,"2023-2024","Osasuna","W",3,1,2,"66.7%",0.8,-0.2,1,2,"50.0%",29,8,"6.9%",23.2,3,0,"11.7%",25,0
316,"2023-2024","Betis","W",2,0,2,"100.0%",0.7,+0.7,3,4,"75.0%",30,4,"13.3%",22,9,0,"11.2%",7,0
317,"2023-2024","be Antwerp","W",1,0,1,"100.0%",0.3,+0.3,0,2,"0.0%",23,2,"8.7%",23.3,2,0,"24.5%",7,0
318,"2023-2024","Celta Vigo","W",7,2,5,"71.4%",2.2,+0.2,3,5,"60.0%",30,5,"3.3%",23.5,8,50,"39.8%",9,1
319,"2023-2024","Mallorca","D",5,2,3,"60.0%",1.2,-0.8,2,2,"100.0%",25,3,"4.0%",24,3,33.3,"37.7%",11,0
320,"2023-2024","Sevilla","W",3,0,3,"100.0%",0.5,+0.5,5,7,"71.4%",37,4,"16.2%",24.2,7,14.3,"25.7%",19,1
321,"2023-2024","pt Porto","W",5,0,5,"100.0%",0.7,+0.7,8,16,"50.0%",45,5,"28.9%",31.3,8,37.5,"29.5%",13,1
322,"2023-2024","Granada","D",2,2,0,"0.0%",0.9,-1.1,2,3,"66.7%",14,0,"14.3%",25.1,5,20,"31.4%",4,0
323,"2023-2024","Athletic Club","W",3,0,3,"100.0%",0.3,+0.3,6,11,"54.5%",41,4,"24.4%",28.6,8,12.5,"20.8%",16,2
324,"2023-2024","ua Shakhtar","W",1,1,0,"0.0%",0.7,-0.3,2,2,"100.0%",25,3,"8.0%",26.8,4,0,"19.5%",5,0
325,"2023-2024","Real Madrid","L",4,2,2,"50.0%",1.3,-0.7,2,4,"50.0%",32,7,"9.4%",26.6,5,20,"20.2%",9,1
326,"2023-2024","Real Sociedad","W",6,0,6,"100.0%",2.2,+2.2,5,8,"62.5%",46,2,"17.4%",29.5,9,0,"13.7%",17,1
327,"2023-2024","ua Shakhtar","L",4,1,3,"75.0%",1.5,+0.5,1,2,"50.0%",23,1,"8.7%",25,3,0,"31.7%",4,0
328,"2023-2024","Alavés","W",1,1,0,"0.0%",0.9,-0.1,2,4,"50.0%",17,0,"5.9%",20.6,8,37.5,"41.1%",7,0
329,"2023-2024","Rayo Vallecano","D",4,1,3,"75.0%",1.3,+0.3,1,4,"25.0%",37,10,"10.8%",23,5,0,"22.2%",6,0
330,"2023-2024","pt Porto","W",5,1,4,"80.0%",1.5,+0.5,6,12,"50.0%",38,3,"28.9%",26.8,5,20,"26.8%",7,0
331,"2023-2024","Atlético Madrid","W",3,0,3,"100.0%",0.5,+0.5,2,4,"50.0%",17,3,"17.6%",25.2,5,20,"22.6%",11,0
332,"2023-2024","Girona","L",7,4,3,"42.9%",4,0.0,1,3,"33.3%",19,2,"5.3%",23.2,8,25,"22.1%",6,0
333,"2023-2024","be Antwerp","L",5,3,2,"40.0%",2.2,-0.8,4,4,"100.0%",22,4,"9.1%",20.1,8,25,"35.4%",12,0
334,"2023-2024","Valencia","D",4,1,3,"75.0%",0.8,-0.2,0,2,"0.0%",16,6,"12.5%",23.8,6,0,"28.5%",15,0
335,"2023-2024","Almería","W",5,2,3,"60.0%",1,-1.0,2,5,"40.0%",27,6,"11.1%",22.5,4,50,"37.5%",7,1
336,"2023-2024","Las Palmas","W",3,1,2,"66.7%",1.5,+0.5,0,2,"0.0%",27,4,"7.4%",20.6,6,0,"16.2%",7,0
337,"2023-2024","Barbastro","W",2,2,1,"50.0%",0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
338,"2023-2024","Osasuna","W",3,0,3,"100.0%",0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
339,"2023-2024","Real Madrid","L",7,4,4,"57.1%",0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
340,"2023-2024","Unionistas Sal","W",4,1,3,"75.0%",0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
341,"2023-2024","Betis","W",4,2,2,"50.0%",0.6,-1.4,0,1,"0.0%",23,3,"4.3%",20.8,5,0,"14.6%",14,1
342,"2023-2024","Athletic Club","L",7,4,3,"42.9%",0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
343,"2023-2024","Villarreal","L",6,5,1,"16.7%",3.4,-1.6,4,4,"100.0%",21,5,"19.0%",25.9,0,0,"%",7,0
344,"2023-2024","Osasuna","W",1,0,1,"100.0%",0,0.0,4,7,"57.1%",27,5,"18.5%",25.6,6,33.3,"29.5%",11,0
345,"2023-2024","Alavés","W",2,1,1,"50.0%",0.8,-0.2,7,17,"41.2%",35,2,"22.9%",26.6,13,69.2,"56.5%",32,0
346,"2023-2024","Granada","D",5,3,2,"40.0%",1.5,-1.5,5,6,"83.3%",38,3,"13.2%",25.9,8,12.5,"20.1%",12,0
347,"2023-2024","Celta Vigo","W",4,1,3,"75.0%",0.4,-0.6,2,6,"33.3%",19,5,"15.8%",27.9,9,33.3,"28.1%",8,0
348,"2023-2024","it Napoli","D",1,1,0,"0.0%",0.5,-0.5,2,9,"22.2%",39,4,"23.1%",30.1,7,0,"17.3%",17,0
349,"2023-2024","Getafe","W",4,0,4,"100.0%",0.7,+0.7,5,10,"50.0%",55,5,"16.4%",27.6,6,16.7,"18.2%",19,0
350,"2023-2024","Athletic Club","D",2,0,2,"100.0%",0.1,+0.1,1,6,"16.7%",45,6,"8.9%",21.7,9,22.2,"27.4%",21,0
