"id","season","opponents","result","passes_attempted","live_ball_passes","dead_ball_passes","passes_from_free_kicks","through_balls","switches","crosses","thrown_ins_taken","corner_kicks","inswinging_corner_kicks","outswinging_corner_kicks","straight_corner_kicks","passes_completed","passes_offside","passes_blocked"
1,"2019-2020","Athletic Club","L",717,663,53,16,1,3,16,17,8,6,0,0,604,1,12
2,"2019-2020","Betis","W",829,777,48,14,1,8,19,17,11,2,5,0,742,4,5
3,"2019-2020","Osasuna","D",774,717,56,16,6,4,14,26,2,1,0,0,662,1,8
4,"2019-2020","Valencia","W",795,762,33,11,3,1,9,13,2,2,0,0,724,0,7
5,"2019-2020","Granada","L",698,636,61,21,3,6,13,27,5,4,1,0,607,1,5
6,"2019-2020","Villarreal","W",682,622,56,15,0,3,9,25,6,3,2,0,594,4,12
7,"2019-2020","Getafe","W",501,439,59,26,3,11,6,19,1,0,0,0,394,3,8
8,"2019-2020","Sevilla","W",583,542,38,11,2,4,6,8,7,3,1,0,515,3,6
9,"2019-2020","Eibar","W",633,578,48,14,4,6,4,20,2,1,0,0,524,7,8
10,"2019-2020","Valladolid","W",675,630,44,12,5,5,8,19,6,3,0,0,568,1,6
11,"2019-2020","Levante","L",694,647,42,12,0,4,8,18,3,3,0,0,607,5,9
12,"2019-2020","Celta Vigo","W",703,668,34,14,1,3,3,12,2,0,0,0,627,1,5
13,"2019-2020","Leganés","W",790,724,65,12,3,11,21,36,6,4,1,1,670,1,12
14,"2019-2020","Atlético Madrid","W",719,672,46,14,2,6,9,18,5,2,2,0,629,1,10
15,"2019-2020","Mallorca","W",752,710,40,10,4,6,21,12,8,3,3,0,667,2,9
16,"2019-2020","Real Sociedad","D",537,493,43,8,1,4,15,15,5,3,2,0,451,1,10
17,"2019-2020","Real Madrid","D",618,572,45,18,1,3,8,15,2,2,0,0,537,1,6
18,"2019-2020","Alavés","W",807,769,30,9,3,5,9,14,3,1,0,0,711,8,9
19,"2019-2020","Espanyol","D",752,704,47,16,2,7,15,14,5,2,0,0,665,1,8
20,"2019-2020","Granada","W",1027,986,40,17,6,2,9,12,7,2,0,0,935,1,20
21,"2019-2020","Valencia","L",900,864,35,12,1,0,11,18,0,0,0,0,823,1,4
22,"2019-2020","Levante","W",785,737,47,13,1,5,11,14,8,4,0,0,710,1,5
23,"2019-2020","Betis","W",747,693,50,24,3,5,15,13,8,3,2,1,660,4,9
24,"2019-2020","Getafe","W",725,662,61,32,5,2,4,16,2,0,0,0,625,2,12
25,"2019-2020","Eibar","W",751,689,54,22,2,11,4,20,5,1,0,0,635,8,8
26,"2019-2020","Real Madrid","L",676,630,46,16,4,2,10,14,2,1,1,0,597,0,12
27,"2019-2020","Real Sociedad","W",556,516,37,10,1,1,9,12,4,3,0,0,457,3,11
28,"2019-2020","Mallorca","W",752,709,41,18,2,3,7,12,3,0,2,0,665,2,9
29,"2019-2020","Leganés","W",892,853,37,15,0,6,8,16,3,1,0,0,813,2,6
30,"2019-2020","Sevilla","D",764,717,46,15,2,3,22,17,9,6,2,0,653,1,9
31,"2019-2020","Athletic Club","W",816,762,52,14,1,6,13,25,6,4,1,0,705,2,12
32,"2019-2020","Celta Vigo","D",683,634,49,20,1,4,16,17,8,6,0,0,592,0,7
33,"2019-2020","Atlético Madrid","D",802,761,41,14,1,3,11,13,3,3,0,0,729,0,7
34,"2019-2020","Villarreal","W",846,811,32,10,3,6,9,10,6,1,1,0,775,3,8
35,"2019-2020","Espanyol","W",852,805,44,11,1,6,12,19,6,4,0,0,763,3,9
36,"2019-2020","Valladolid","W",757,716,41,13,2,7,6,14,5,2,0,0,662,0,18
37,"2019-2020","Osasuna","L",865,815,48,10,0,6,20,20,10,6,1,0,765,2,9
38,"2019-2020","Alavés","W",772,733,37,18,5,5,7,11,1,0,0,0,696,2,7
39,"2020-2021","Villarreal","W",723,682,40,12,3,4,16,14,8,3,1,0,634,1,9
40,"2020-2021","Celta Vigo","W",591,534,55,22,1,5,11,17,7,5,1,0,497,2,6
41,"2020-2021","Sevilla","D",683,624,59,18,1,3,12,21,6,3,0,0,594,0,10
42,"2020-2021","Getafe","L",651,605,43,19,1,7,9,13,2,1,0,0,557,3,11
43,"2020-2021","Real Madrid","L",632,584,48,13,3,0,18,16,7,2,3,0,548,0,10
44,"2020-2021","Alavés","D",876,818,55,14,2,2,14,24,14,1,0,0,775,3,7
45,"2020-2021","Betis","W",647,609,35,9,5,3,14,8,9,2,2,0,566,3,9
46,"2020-2021","Atlético Madrid","L",651,609,40,13,0,5,19,13,8,4,2,0,568,2,8
47,"2020-2021","Osasuna","W",852,811,40,11,0,7,16,15,5,1,0,0,761,1,6
48,"2020-2021","Cádiz","L",921,868,52,7,2,0,23,25,13,6,0,0,802,1,15
49,"2020-2021","Levante","W",714,661,49,11,0,5,26,19,12,5,1,0,627,4,10
50,"2020-2021","Real Sociedad","W",537,492,41,18,0,4,7,15,2,1,0,0,442,4,8
51,"2020-2021","Valencia","D",758,707,50,13,0,1,19,18,8,5,0,0,663,1,13
52,"2020-2021","Valladolid","W",710,664,46,16,0,5,11,13,5,0,2,0,637,0,9
53,"2020-2021","Eibar","D",715,659,50,13,1,8,18,25,5,2,3,0,619,6,16
54,"2020-2021","Huesca","W",832,792,37,11,2,6,12,16,6,1,0,0,749,3,11
55,"2020-2021","Athletic Club","W",683,640,39,10,1,1,10,18,4,0,2,0,601,4,7
56,"2020-2021","Granada","W",840,797,41,16,3,4,3,16,1,0,0,0,767,2,10
57,"2020-2021","Elche","W",736,693,42,16,2,2,19,15,7,3,0,0,656,1,9
58,"2020-2021","Athletic Club","W",633,585,47,20,0,2,15,15,7,1,2,0,545,1,7
59,"2020-2021","Betis","W",745,701,40,20,4,1,11,8,5,2,0,0,670,4,7
60,"2020-2021","Alavés","W",899,855,39,12,1,3,5,17,5,1,1,0,814,5,12
61,"2020-2021","Cádiz","D",942,879,55,11,1,0,14,29,8,2,1,0,847,8,9
62,"2020-2021","Elche","W",796,762,31,8,1,0,8,12,6,0,1,0,715,3,6
63,"2020-2021","Sevilla","W",640,598,40,20,2,0,5,9,3,1,0,0,556,2,10
64,"2020-2021","Osasuna","W",756,722,31,4,2,3,9,15,4,1,0,0,664,3,7
65,"2020-2021","Huesca","W",934,893,39,12,2,0,12,13,7,2,1,0,856,2,11
66,"2020-2021","Real Sociedad","W",775,735,38,11,5,0,2,22,1,0,0,0,699,2,7
67,"2020-2021","Valladolid","W",739,696,42,12,2,1,15,19,4,0,2,0,654,1,8
68,"2020-2021","Real Madrid","L",759,701,57,13,2,3,21,26,6,2,3,0,673,1,17
69,"2020-2021","Getafe","W",974,922,51,15,2,3,8,24,3,1,1,0,878,1,11
70,"2020-2021","Villarreal","W",623,579,38,16,1,3,7,13,1,1,0,0,549,6,7
71,"2020-2021","Granada","L",909,850,57,22,0,2,19,18,6,1,2,0,815,2,6
72,"2020-2021","Valencia","W",809,772,36,12,3,3,8,16,1,0,0,0,721,1,5
73,"2020-2021","Atlético Madrid","D",637,580,54,27,1,2,17,16,5,2,2,0,569,3,3
74,"2020-2021","Levante","D",657,622,34,12,0,3,14,9,6,2,1,0,572,1,7
75,"2020-2021","Celta Vigo","L",772,722,50,15,1,5,17,25,7,2,0,0,692,0,7
76,"2020-2021","Eibar","W",737,689,45,12,1,2,10,17,3,2,1,0,640,3,9
77,"2021-2022","Real Sociedad","W",590,517,72,20,1,1,11,37,5,2,0,0,516,1,10
78,"2021-2022","Athletic Club","D",638,582,54,17,0,13,16,21,2,1,0,0,545,2,10
79,"2021-2022","Getafe","W",721,662,56,23,2,2,10,21,3,2,0,0,613,3,12
80,"2021-2022","Granada","D",711,659,51,19,1,2,54,15,12,6,0,0,611,1,9
81,"2021-2022","Cádiz","D",686,632,53,17,1,1,24,22,5,2,0,0,581,1,6
82,"2021-2022","Levante","W",731,683,48,15,4,4,24,14,11,3,0,0,650,0,4
83,"2021-2022","Atlético Madrid","L",769,719,47,11,4,2,17,19,6,2,3,0,671,3,10
84,"2021-2022","Valencia","W",576,526,47,13,3,0,21,16,9,3,3,0,500,3,4
85,"2021-2022","Real Madrid","L",519,470,47,18,1,5,34,18,7,2,3,0,440,2,6
86,"2021-2022","Rayo Vallecano","L",643,584,58,21,3,5,20,20,7,2,4,0,553,1,7
87,"2021-2022","Alavés","D",876,825,50,12,4,3,34,25,9,2,2,0,773,1,5
88,"2021-2022","Celta Vigo","D",512,454,56,20,0,3,6,18,1,1,0,0,436,2,7
89,"2021-2022","Espanyol","W",714,669,38,9,3,5,21,16,4,1,1,0,617,7,8
90,"2021-2022","Villarreal","W",440,382,54,21,1,8,11,15,4,1,1,0,344,4,7
91,"2021-2022","Betis","L",656,608,45,15,0,4,20,15,6,2,4,0,567,3,6
92,"2021-2022","Osasuna","D",504,454,48,19,1,4,20,17,5,0,4,0,401,2,6
93,"2021-2022","Elche","W",745,700,42,20,9,6,16,10,5,2,1,0,658,3,13
94,"2021-2022","Sevilla","D",536,482,53,17,0,2,23,18,9,1,7,0,447,1,8
95,"2021-2022","Mallorca","W",605,557,47,23,2,6,16,17,3,0,3,0,526,1,8
96,"2021-2022","Granada","D",620,575,42,11,2,8,11,20,2,0,2,0,522,3,7
97,"2021-2022","Alavés","W",754,688,63,19,0,8,27,28,10,2,8,0,637,3,10
98,"2021-2022","Atlético Madrid","W",577,531,45,16,0,3,14,14,3,2,0,0,492,1,2
99,"2021-2022","Espanyol","D",589,534,52,16,1,2,33,22,5,5,0,0,495,3,11
100,"2021-2022","Valencia","W",512,447,64,24,4,5,9,22,3,1,1,0,426,1,5
101,"2021-2022","Athletic Club","W",840,797,39,12,2,13,26,19,5,3,1,0,749,4,10
102,"2021-2022","Elche","W",619,569,46,12,2,1,25,15,6,2,3,0,517,4,15
103,"2021-2022","Osasuna","W",920,881,35,6,9,6,13,20,5,0,1,0,834,4,5
104,"2021-2022","Real Madrid","W",720,687,33,9,1,3,6,13,3,0,2,0,639,0,12
105,"2021-2022","Sevilla","W",604,559,43,9,2,7,28,17,9,2,5,0,523,2,8
106,"2021-2022","Levante","W",672,640,28,7,2,6,17,11,3,0,3,0,582,4,5
107,"2021-2022","Cádiz","L",746,698,48,14,1,13,36,18,8,1,5,0,641,0,6
108,"2021-2022","Real Sociedad","W",493,437,51,12,4,4,7,27,3,1,1,0,376,5,18
109,"2021-2022","Rayo Vallecano","L",695,631,58,16,7,4,40,28,9,7,1,0,571,6,9
110,"2021-2022","Mallorca","W",716,659,51,13,5,6,20,25,5,1,1,0,610,6,9
111,"2021-2022","Betis","W",541,492,44,17,2,5,22,11,8,1,4,0,459,5,5
112,"2021-2022","Celta Vigo","W",587,549,37,8,1,7,9,22,2,0,1,0,507,1,11
113,"2021-2022","Getafe","D",895,862,32,9,3,14,17,13,5,0,3,0,818,1,5
114,"2021-2022","Villarreal","L",734,692,37,7,2,2,40,13,12,7,4,0,642,5,10
115,"2022-2023","Rayo Vallecano","D",617,556,57,17,1,4,24,24,8,5,3,0,526,4,7
116,"2022-2023","Real Sociedad","W",587,529,57,20,2,6,8,24,6,1,1,0,522,1,11
117,"2022-2023","Valladolid","W",694,639,54,10,3,12,30,24,14,8,3,0,602,1,8
118,"2022-2023","Sevilla","W",478,433,43,19,6,6,10,15,4,3,0,0,393,2,8
119,"2022-2023","Cádiz","W",606,551,52,14,5,11,10,21,6,0,2,0,508,3,14
120,"2022-2023","Elche","W",762,714,43,12,10,4,22,23,6,1,1,0,676,5,6
121,"2022-2023","Mallorca","W",804,768,35,11,8,4,15,11,5,0,1,1,735,1,5
122,"2022-2023","Celta Vigo","W",616,564,51,13,1,10,20,26,6,2,3,0,524,1,8
123,"2022-2023","Real Madrid","L",576,531,41,13,0,5,9,15,3,1,0,1,508,4,10
124,"2022-2023","Villarreal","W",804,762,38,10,5,4,22,14,8,1,3,0,740,4,7
125,"2022-2023","Athletic Club","W",706,662,40,14,4,2,7,20,1,0,1,0,626,4,7
126,"2022-2023","Valencia","W",629,571,55,14,3,4,21,26,10,3,4,0,534,3,10
127,"2022-2023","Almería","W",769,718,45,13,11,10,26,22,9,3,3,0,676,6,10
128,"2022-2023","Osasuna","W",543,484,57,18,2,4,10,19,6,1,0,0,440,2,5
129,"2022-2023","Espanyol","D",685,640,45,16,2,13,29,13,10,3,5,0,613,0,14
130,"2022-2023","Atlético Madrid","W",666,625,40,10,2,5,9,16,4,0,4,0,563,1,10
131,"2022-2023","Getafe","W",852,811,36,10,1,3,17,18,4,2,2,0,737,5,13
132,"2022-2023","Girona","W",621,575,45,16,0,7,18,18,2,2,0,0,528,1,5
133,"2022-2023","Betis","W",680,629,45,19,1,3,14,13,6,0,6,0,587,6,10
134,"2022-2023","Sevilla","W",726,677,47,13,2,7,26,22,8,0,5,0,641,2,9
135,"2022-2023","Villarreal","W",429,368,58,27,8,7,10,18,2,0,2,0,335,3,10
136,"2022-2023","Cádiz","W",635,579,55,25,0,12,19,15,5,3,2,0,565,1,11
137,"2022-2023","Almería","L",638,584,49,15,3,5,47,24,7,2,3,0,534,5,10
138,"2022-2023","Valencia","W",504,452,51,13,3,9,11,23,5,1,3,0,414,1,11
139,"2022-2023","Athletic Club","W",612,562,49,15,3,5,18,20,3,1,1,0,514,1,5
140,"2022-2023","Real Madrid","W",610,560,49,17,3,3,30,14,8,3,3,0,521,1,8
141,"2022-2023","Elche","W",563,512,48,15,5,2,15,22,3,0,2,0,481,3,13
142,"2022-2023","Girona","D",567,516,50,18,1,4,37,14,12,8,2,0,468,1,8
143,"2022-2023","Getafe","D",536,483,48,16,1,4,23,20,5,2,2,0,426,5,6
144,"2022-2023","Atlético Madrid","W",648,599,47,17,5,3,18,16,3,2,0,0,548,2,3
145,"2022-2023","Rayo Vallecano","L",543,489,51,11,2,5,21,21,9,6,2,0,426,3,12
146,"2022-2023","Betis","W",714,671,40,10,11,4,21,12,10,5,4,0,618,3,14
147,"2022-2023","Osasuna","W",702,654,45,11,4,2,37,17,11,1,5,0,597,3,11
148,"2022-2023","Espanyol","W",758,715,40,15,3,4,8,13,3,2,0,0,687,3,6
149,"2022-2023","Real Sociedad","L",712,652,58,17,3,1,17,25,8,3,0,0,614,2,9
150,"2022-2023","Valladolid","L",670,622,46,14,3,5,20,17,6,3,2,0,577,2,8
151,"2022-2023","Mallorca","W",767,729,38,7,5,3,34,15,14,1,2,0,676,0,10
152,"2022-2023","Celta Vigo","L",696,642,51,20,1,3,11,20,4,3,1,0,613,3,8
153,"2023-2024","Getafe","D",767,712,53,23,5,5,17,17,4,3,0,0,680,2,2
154,"2023-2024","Cádiz","W",659,605,53,21,5,2,29,14,10,3,4,0,585,1,4
155,"2023-2024","Villarreal","W",628,584,41,17,2,7,18,12,6,2,1,1,557,3,7
156,"2023-2024","Osasuna","W",694,654,38,7,0,3,16,21,5,3,1,0,618,2,8
157,"2023-2024","Betis","W",692,646,43,10,2,2,16,14,9,4,0,0,619,3,10
158,"2023-2024","Celta Vigo","W",858,813,43,10,2,9,21,20,2,0,2,0,767,2,7
159,"2023-2024","Mallorca","D",621,565,55,25,6,11,11,22,2,1,0,0,524,1,9
160,"2023-2024","Sevilla","W",519,453,65,18,4,7,21,26,13,4,2,0,431,1,9
161,"2023-2024","Granada","D",823,767,52,13,3,5,28,20,11,5,4,0,725,4,14
162,"2023-2024","Athletic Club","W",576,516,56,22,3,10,13,21,4,1,2,0,484,4,9
163,"2023-2024","Real Madrid","L",591,538,52,15,3,9,14,23,6,3,2,0,503,1,13
164,"2023-2024","Real Sociedad","W",423,373,49,17,0,2,8,19,3,0,3,0,354,1,4
165,"2023-2024","Alavés","W",793,753,37,10,7,5,24,15,2,2,0,0,691,3,13
166,"2023-2024","Rayo Vallecano","D",640,583,55,24,7,4,12,20,4,0,3,0,564,2,13
167,"2023-2024","Atlético Madrid","W",648,606,41,15,2,4,16,13,7,4,0,0,578,1,16
168,"2023-2024","Girona","L",576,522,53,10,5,2,26,22,8,6,0,0,500,1,9
169,"2023-2024","Valencia","D",601,551,47,12,3,5,17,21,6,1,4,0,512,3,8
170,"2023-2024","Almería","W",621,574,44,11,1,2,16,14,12,0,11,0,547,3,5
171,"2023-2024","Las Palmas","W",549,476,59,15,7,3,23,26,10,1,6,0,443,14,6
172,"2023-2024","Betis","W",623,571,46,16,2,4,17,18,4,0,3,0,525,6,9
173,"2023-2024","Villarreal","L",712,665,47,16,3,11,25,16,10,3,3,0,612,0,10
174,"2023-2024","Osasuna","W",676,625,47,13,2,3,19,21,6,2,2,0,592,4,6
175,"2023-2024","Alavés","W",581,530,50,17,2,3,11,13,5,2,1,0,507,1,8
176,"2023-2024","Granada","D",672,617,52,10,2,5,17,24,6,0,4,0,569,3,11
177,"2023-2024","Celta Vigo","W",713,663,49,13,0,6,16,20,5,3,2,0,602,1,10
178,"2023-2024","Getafe","W",616,557,54,22,5,7,14,20,5,2,3,0,523,5,10
179,"2023-2024","Athletic Club","D",599,553,46,19,3,9,13,13,4,1,2,0,508,0,9
