"id","season","opponents","result","possession_percentage","touches","touches_in_def_pen_area","touches_in_def_3rd","touches_in_mid_3rd","touches_in_att_3rd","touches_in_att_pen_area","live_ball_touches","takeons_attempted","successful_takeons","successful_takeons_percent","times_tackled_during_takeon","tackled_during_takeon_percent","carries","total_carrying_distance","progressive_carrying_distance","progressive_carries","carries_into_final_3rd","carries_into_penalty_area","miscontrols","times_dispossessed","passes_received","progressive_passes_received"
1,"2019-2020","Athletic Club","L","71%",786,59,191,378,221,19,786,15,9,"60.0%",6,"40.0%",515,2724,1546,17,22,2,10,3,598,47
2,"2019-2020","Betis","W","70%",918,30,122,435,368,55,918,24,12,"50.0%",12,"50.0%",593,3073,1834,37,30,16,18,10,739,80
3,"2019-2020","Osasuna","D","73%",871,62,222,434,218,15,871,21,13,"61.9%",8,"38.1%",544,3005,1802,23,18,3,21,10,658,64
4,"2019-2020","Valencia","W","64%",887,46,123,439,332,30,887,21,16,"76.2%",5,"23.8%",584,3194,1817,37,41,10,14,6,721,64
5,"2019-2020","Granada","L","73%",777,44,180,420,185,27,777,23,11,"47.8%",12,"52.2%",507,2998,1741,28,20,8,13,8,607,46
6,"2019-2020","Villarreal","W","57%",779,59,177,370,237,46,779,23,13,"56.5%",10,"43.5%",480,2699,1515,28,26,14,16,11,594,51
7,"2019-2020","Getafe","W","61%",597,70,217,279,108,11,597,17,11,"64.7%",6,"35.3%",319,1864,885,13,8,2,14,6,393,34
8,"2019-2020","Sevilla","W","56%",708,90,222,328,167,23,708,34,25,"73.5%",9,"26.5%",432,2596,1396,25,20,9,17,11,512,42
9,"2019-2020","Eibar","W","56%",720,96,323,264,138,27,720,12,9,"75.0%",3,"25.0%",366,2068,1093,26,16,9,11,5,522,33
10,"2019-2020","Valladolid","W","61%",769,54,183,373,220,32,769,29,20,"69.0%",9,"31.0%",462,2639,1444,32,32,12,5,11,564,59
11,"2019-2020","Levante","L","64%",785,62,239,337,214,19,784,20,12,"60.0%",8,"40.0%",463,2778,1437,15,15,3,17,7,607,54
12,"2019-2020","Celta Vigo","W","60%",785,51,163,416,210,25,784,24,14,"58.3%",10,"41.7%",544,2480,1270,20,21,5,9,11,620,35
13,"2019-2020","Leganés","W","76%",877,44,186,386,314,17,877,25,18,"72.0%",7,"28.0%",552,3250,1887,33,34,3,20,6,665,72
14,"2019-2020","Atlético Madrid","W","65%",840,88,202,431,218,21,840,21,14,"66.7%",7,"33.3%",540,2728,1384,20,25,3,9,12,626,62
15,"2019-2020","Mallorca","W","66%",859,54,142,380,340,72,859,23,17,"73.9%",6,"26.1%",519,2562,1654,35,22,19,9,8,665,84
16,"2019-2020","Real Sociedad","D","47%",657,80,210,305,146,27,657,21,12,"57.1%",9,"42.9%",369,1964,1040,22,17,3,5,9,450,41
17,"2019-2020","Real Madrid","D","52%",722,113,272,335,120,25,722,24,17,"70.8%",7,"29.2%",432,2304,1321,17,15,4,8,8,533,37
18,"2019-2020","Alavés","W","69%",871,39,149,505,220,26,870,15,10,"66.7%",5,"33.3%",582,2878,1742,24,25,3,14,7,709,62
19,"2019-2020","Espanyol","D","69%",844,66,227,441,186,27,844,25,20,"80.0%",5,"20.0%",419,2651,1660,23,19,3,17,14,661,71
20,"2019-2020","Granada","W","81%",1131,53,200,605,330,37,1131,15,7,"46.7%",8,"53.3%",796,3074,1663,17,27,11,16,13,931,61
21,"2019-2020","Valencia","L","73%",977,56,192,482,307,22,977,15,10,"66.7%",5,"33.3%",515,2731,1518,19,20,4,11,6,819,83
22,"2019-2020","Levante","W","67%",876,84,231,372,278,48,876,24,21,"87.5%",3,"12.5%",612,2818,1580,31,21,13,15,12,705,67
23,"2019-2020","Betis","W","70%",813,62,222,415,179,31,813,20,16,"80.0%",4,"20.0%",570,2647,1445,21,21,5,9,14,655,33
24,"2019-2020","Getafe","W","75%",804,87,322,381,104,15,804,23,14,"60.9%",9,"39.1%",504,2540,1276,20,16,4,12,12,608,31
25,"2019-2020","Eibar","W","69%",857,96,271,399,189,30,857,16,7,"43.8%",9,"56.3%",572,2680,1530,24,24,9,9,9,631,45
26,"2019-2020","Real Madrid","L","56%",774,86,220,387,170,17,774,19,16,"84.2%",3,"15.8%",461,2673,1566,30,16,7,13,16,589,36
27,"2019-2020","Real Sociedad","W","54%",650,81,232,267,159,31,649,15,14,"93.3%",1,"6.7%",380,1988,1227,22,11,8,11,9,451,35
28,"2019-2020","Mallorca","W","64%",841,77,260,397,190,42,841,24,16,"66.7%",8,"33.3%",625,2702,1595,16,18,4,3,5,654,55
29,"2019-2020","Leganés","W","75%",975,38,159,616,205,18,974,22,14,"63.6%",8,"36.4%",672,3336,1756,22,30,2,9,14,810,49
30,"2019-2020","Sevilla","D","64%",847,63,170,391,289,16,847,15,10,"66.7%",5,"33.3%",557,2431,1299,22,21,1,10,3,649,62
31,"2019-2020","Athletic Club","W","73%",916,61,233,412,278,32,916,31,20,"64.5%",11,"35.5%",697,3018,1579,29,27,5,6,12,704,65
32,"2019-2020","Celta Vigo","D","67%",779,45,163,380,241,26,779,18,11,"61.1%",7,"38.9%",512,2351,1263,22,17,7,6,18,585,44
33,"2019-2020","Atlético Madrid","D","72%",905,60,181,465,263,14,904,36,21,"58.3%",15,"41.7%",673,3071,1659,23,28,4,12,14,723,51
34,"2019-2020","Villarreal","W","68%",941,54,227,507,213,40,941,14,8,"57.1%",6,"42.9%",632,2574,1415,27,25,7,10,9,773,50
35,"2019-2020","Espanyol","W","74%",919,54,149,475,301,20,919,14,10,"71.4%",4,"28.6%",637,3292,1910,26,44,1,7,10,760,47
36,"2019-2020","Valladolid","W","64%",853,76,192,486,179,20,853,14,10,"71.4%",4,"28.6%",495,2369,1498,20,16,4,18,4,660,50
37,"2019-2020","Osasuna","L","79%",947,35,131,437,385,38,947,22,13,"59.1%",9,"40.9%",560,2926,1710,36,32,9,9,7,762,68
38,"2019-2020","Alavés","W","68%",856,44,178,476,206,25,856,19,13,"68.4%",6,"31.6%",724,2551,1297,21,24,7,11,4,693,66
39,"2020-2021","Villarreal","W","57%",810,74,220,365,229,45,809,17,13,"76.5%",4,"23.5%",462,2450,1365,28,19,13,9,5,633,55
40,"2020-2021","Celta Vigo","W","56%",690,70,196,290,208,18,690,15,11,"73.3%",4,"26.7%",315,1948,906,21,14,10,17,8,492,28
41,"2020-2021","Sevilla","D","55%",756,73,224,347,187,23,756,15,10,"66.7%",5,"33.3%",493,2258,1230,22,23,10,12,9,591,45
42,"2020-2021","Getafe","L","72%",745,68,207,395,152,10,745,27,22,"81.5%",5,"18.5%",470,2754,1532,27,16,1,16,16,554,50
43,"2020-2021","Real Madrid","L","53%",730,56,165,372,198,23,730,26,19,"73.1%",7,"26.9%",478,2211,1244,22,21,5,10,15,546,50
44,"2020-2021","Alavés","D","79%",978,39,131,432,421,56,978,38,21,"55.3%",17,"44.7%",577,3690,2149,44,42,13,15,10,772,65
45,"2020-2021","Betis","W","59%",738,58,164,322,259,44,736,15,9,"60.0%",6,"40.0%",423,2478,1358,32,22,11,8,7,562,75
46,"2020-2021","Atlético Madrid","L","54%",757,51,170,353,238,21,757,18,9,"50.0%",9,"50.0%",383,2159,1146,20,22,2,15,4,564,56
47,"2020-2021","Osasuna","W","71%",956,85,251,456,250,36,956,17,8,"47.1%",9,"52.9%",540,2772,1364,15,22,6,16,6,758,46
48,"2020-2021","Cádiz","L","82%",1010,41,122,432,462,53,1010,24,16,"66.7%",8,"33.3%",759,3525,1926,27,46,7,13,7,802,116
49,"2020-2021","Levante","W","63%",807,48,129,327,356,51,807,16,11,"68.8%",5,"31.3%",497,2806,1680,36,24,12,13,7,625,66
50,"2020-2021","Real Sociedad","W","53%",635,59,177,278,185,31,635,16,10,"62.5%",6,"37.5%",341,2102,989,18,14,6,13,8,437,40
51,"2020-2021","Valencia","D","72%",863,60,152,322,396,46,862,31,22,"71.0%",9,"29.0%",573,3103,1522,35,27,17,12,9,660,65
52,"2020-2021","Valladolid","W","61%",814,71,224,357,238,40,814,27,13,"48.1%",14,"51.9%",617,2498,1283,26,24,8,9,6,633,63
53,"2020-2021","Eibar","D","72%",833,72,302,355,182,31,832,18,12,"66.7%",6,"33.3%",484,2985,1392,24,19,6,21,13,615,40
54,"2020-2021","Huesca","W","69%",921,43,153,394,382,40,921,29,15,"51.7%",14,"48.3%",687,2733,1515,24,29,9,13,7,744,85
55,"2020-2021","Athletic Club","W","57%",789,61,248,324,225,31,789,15,11,"73.3%",4,"26.7%",596,2909,1500,24,34,8,15,7,596,58
56,"2020-2021","Granada","W","72%",919,65,258,470,197,30,919,11,6,"54.5%",5,"45.5%",508,2866,1627,30,14,10,11,1,762,59
57,"2020-2021","Elche","W","65%",813,32,111,445,260,30,813,23,18,"78.3%",5,"21.7%",613,3099,1791,30,28,7,11,5,654,49
58,"2020-2021","Athletic Club","W","58%",721,77,225,334,169,25,721,20,17,"85.0%",3,"15.0%",499,2524,1330,26,22,9,9,12,545,30
59,"2020-2021","Betis","W","63%",831,62,196,464,179,28,831,23,16,"69.6%",7,"30.4%",621,3028,1591,18,32,7,17,10,668,45
60,"2020-2021","Alavés","W","73%",975,60,180,506,293,23,975,12,6,"50.0%",6,"50.0%",560,3007,1591,25,22,6,8,8,809,44
61,"2020-2021","Cádiz","D","81%",1044,37,127,393,527,47,1043,24,13,"54.2%",11,"45.8%",678,3647,2062,41,38,12,20,5,844,86
62,"2020-2021","Elche","W","65%",878,40,152,532,203,25,878,26,18,"69.2%",8,"30.8%",712,3486,1717,24,27,6,8,6,711,55
63,"2020-2021","Sevilla","W","55%",723,58,180,383,164,27,723,26,16,"61.5%",10,"38.5%",501,2451,1343,26,19,10,14,6,551,48
64,"2020-2021","Osasuna","W","63%",856,74,231,388,244,26,856,15,11,"73.3%",4,"26.7%",605,3033,1723,30,28,9,14,8,659,42
65,"2020-2021","Huesca","W","69%",1024,50,162,517,349,26,1024,13,12,"92.3%",1,"7.7%",734,2877,1475,23,24,3,11,13,850,58
66,"2020-2021","Real Sociedad","W","69%",867,80,240,422,209,28,867,20,14,"70.0%",6,"30.0%",594,2533,1397,17,13,6,10,17,693,43
67,"2020-2021","Valladolid","W","68%",835,50,141,342,358,36,835,17,10,"58.8%",7,"41.2%",641,3600,2061,41,40,7,13,12,648,77
68,"2020-2021","Real Madrid","L","69%",846,62,182,354,312,37,846,17,13,"76.5%",4,"23.5%",592,2851,1641,27,31,5,13,19,668,70
69,"2020-2021","Getafe","W","80%",1048,68,271,581,200,21,1047,21,15,"71.4%",6,"28.6%",764,2941,1408,15,15,4,13,7,874,48
70,"2020-2021","Villarreal","W","56%",715,80,260,284,176,28,715,11,8,"72.7%",3,"27.3%",479,2096,986,18,19,3,10,15,547,36
71,"2020-2021","Granada","L","81%",990,33,129,466,399,39,990,19,12,"63.2%",7,"36.8%",683,2779,1437,32,37,5,18,11,810,79
72,"2020-2021","Valencia","W","68%",887,45,137,456,302,40,886,17,12,"70.6%",5,"29.4%",433,2033,1172,15,22,4,9,5,717,76
73,"2020-2021","Atlético Madrid","D","59%",727,53,178,367,186,18,727,21,12,"57.1%",9,"42.9%",436,2375,1316,21,19,2,7,13,564,36
74,"2020-2021","Levante","D","60%",745,52,169,362,215,29,745,15,11,"73.3%",4,"26.7%",479,2265,1256,21,20,4,7,5,571,47
75,"2020-2021","Celta Vigo","L","64%",871,38,173,394,310,38,871,42,33,"78.6%",9,"21.4%",696,3189,1611,32,22,9,15,16,689,68
76,"2020-2021","Eibar","W","67%",828,95,362,327,145,17,828,13,8,"61.5%",5,"38.5%",518,2722,1522,15,20,4,12,3,634,45
77,"2021-2022","Real Sociedad","W","62%",702,82,208,347,151,28,702,17,12,"70.6%",5,"29.4%",429,1783,882,9,10,6,14,17,511,46
78,"2021-2022","Athletic Club","D","67%",746,105,299,311,140,27,746,12,10,"83.3%",2,"16.7%",469,2314,1286,29,17,10,21,7,541,54
79,"2021-2022","Getafe","W","66%",810,61,195,491,127,15,810,16,9,"56.3%",7,"43.8%",474,2596,1262,18,11,4,14,11,608,39
80,"2021-2022","Granada","D","76%",832,54,141,383,315,53,832,25,12,"48.0%",13,"52.0%",582,3212,1893,53,32,11,18,2,609,77
81,"2021-2022","Cádiz","D","67%",805,66,195,396,220,20,805,18,7,"38.9%",11,"61.1%",570,2649,1511,23,25,4,22,9,576,67
82,"2021-2022","Levante","W","70%",829,49,164,428,245,32,828,28,22,"78.6%",6,"21.4%",481,2822,1530,33,26,14,18,16,647,50
83,"2021-2022","Atlético Madrid","L","70%",841,50,168,452,226,14,841,19,9,"47.4%",10,"52.6%",579,2629,1295,19,18,6,14,8,664,62
84,"2021-2022","Valencia","W","60%",674,57,194,309,179,29,673,24,16,"66.7%",8,"33.3%",367,2022,1140,21,17,10,20,7,497,54
85,"2021-2022","Real Madrid","L","51%",607,33,104,266,245,29,607,10,7,"70.0%",3,"30.0%",388,2272,1389,35,18,5,15,9,436,63
86,"2021-2022","Rayo Vallecano","L","68%",741,79,248,337,164,29,740,31,19,"61.3%",12,"38.7%",515,2501,1480,28,14,10,14,10,552,51
87,"2021-2022","Alavés","D","79%",964,32,115,518,334,33,964,28,18,"64.3%",10,"35.7%",571,3214,1809,31,22,6,17,7,767,79
88,"2021-2022","Celta Vigo","D","48%",637,91,249,258,135,26,637,35,24,"68.6%",11,"31.4%",386,1973,1136,30,18,10,20,13,435,36
89,"2021-2022","Espanyol","W","65%",801,45,157,398,248,40,800,21,15,"71.4%",6,"28.6%",509,1932,1244,30,14,12,13,10,615,78
90,"2021-2022","Villarreal","W","50%",538,97,267,156,121,23,537,13,9,"69.2%",4,"30.8%",271,1273,654,16,8,5,15,5,340,22
91,"2021-2022","Betis","L","63%",753,79,211,348,199,25,753,26,17,"65.4%",9,"34.6%",413,2717,1556,25,20,7,18,20,563,56
92,"2021-2022","Osasuna","D","61%",630,90,249,264,121,20,630,21,15,"71.4%",6,"28.6%",344,2121,1227,29,24,7,22,14,399,39
93,"2021-2022","Elche","W","72%",835,36,137,481,227,30,835,21,15,"71.4%",6,"28.6%",492,3469,2041,33,27,10,14,11,653,59
94,"2021-2022","Sevilla","D","58%",641,55,192,256,199,30,641,19,11,"57.9%",8,"42.1%",382,2200,1366,35,19,10,15,6,444,47
95,"2021-2022","Mallorca","W","64%",716,64,211,332,173,18,716,11,5,"45.5%",6,"54.5%",384,1765,1055,12,8,7,18,8,523,44
96,"2021-2022","Granada","D","64%",733,81,200,354,184,16,733,19,11,"57.9%",8,"42.1%",441,2242,1314,21,19,4,14,11,521,41
97,"2021-2022","Alavés","W","75%",838,62,239,414,193,22,838,18,11,"61.1%",7,"38.9%",611,2733,1511,19,20,2,18,9,629,66
98,"2021-2022","Atlético Madrid","W","56%",675,55,144,358,174,15,675,11,5,"45.5%",6,"54.5%",326,1645,764,8,8,1,21,10,489,44
99,"2021-2022","Espanyol","D","64%",685,28,148,339,205,30,685,25,12,"48.0%",13,"52.0%",478,2328,1479,27,20,5,15,5,487,60
100,"2021-2022","Valencia","W","64%",619,83,215,266,140,13,619,16,8,"50.0%",8,"50.0%",332,1602,784,14,7,2,17,14,421,27
101,"2021-2022","Athletic Club","W","71%",942,65,252,500,201,41,942,21,15,"71.4%",6,"28.6%",614,2765,1383,26,17,12,22,9,740,57
102,"2021-2022","Elche","W","67%",730,51,143,393,201,33,729,24,14,"58.3%",10,"41.7%",400,3089,1758,31,22,6,16,6,506,62
103,"2021-2022","Osasuna","W","72%",1015,39,165,555,300,37,1014,17,11,"64.7%",6,"35.3%",677,3181,1876,28,24,10,19,10,832,71
104,"2021-2022","Real Madrid","W","60%",802,60,222,421,166,31,802,13,10,"76.9%",3,"23.1%",627,2552,1399,20,24,7,14,4,637,43
105,"2021-2022","Sevilla","W","55%",700,46,135,334,233,40,700,17,13,"76.5%",4,"23.5%",449,2363,1429,25,18,10,12,10,518,58
106,"2021-2022","Levante","W","63%",763,53,173,401,195,28,763,12,10,"83.3%",2,"16.7%",496,2343,1363,29,31,10,11,10,577,46
107,"2021-2022","Cádiz","L","74%",845,40,134,448,270,35,845,29,22,"75.9%",7,"24.1%",599,3528,2150,42,28,10,16,13,636,88
108,"2021-2022","Real Sociedad","W","45%",629,88,230,246,158,20,629,16,6,"37.5%",10,"62.5%",356,1518,775,15,11,3,19,9,374,36
109,"2021-2022","Rayo Vallecano","L","70%",791,37,220,374,200,35,791,27,18,"66.7%",9,"33.3%",485,2759,1398,28,12,5,17,11,567,72
110,"2021-2022","Mallorca","W","70%",796,31,137,430,235,35,796,16,14,"87.5%",2,"12.5%",452,2517,1460,28,22,8,12,2,608,47
111,"2021-2022","Betis","W","57%",642,51,171,310,166,27,642,18,13,"72.2%",5,"27.8%",403,2343,1393,27,17,10,13,8,457,50
112,"2021-2022","Celta Vigo","W","54%",684,58,195,344,151,26,684,21,12,"57.1%",9,"42.9%",535,2437,1348,23,15,9,13,11,504,48
113,"2021-2022","Getafe","D","71%",971,43,160,696,118,17,971,22,12,"54.5%",10,"45.5%",742,3124,1635,14,15,2,15,6,815,59
114,"2021-2022","Villarreal","L","69%",816,40,106,405,308,33,816,10,5,"50.0%",5,"50.0%",599,2839,1533,27,26,10,17,10,636,61
115,"2022-2023","Rayo Vallecano","D","67%",713,54,226,295,199,40,713,13,7,"53.8%",6,"46.2%",438,2420,1476,27,13,12,21,12,516,60
116,"2022-2023","Real Sociedad","W","58%",704,56,186,375,148,24,704,28,10,"35.7%",16,"57.1%",430,2412,1193,21,19,7,16,9,517,33
117,"2022-2023","Valladolid","W","67%",805,33,115,381,313,51,805,29,16,"55.2%",11,"37.9%",487,3124,1717,37,32,14,12,11,599,81
118,"2022-2023","Sevilla","W","54%",589,69,204,252,139,29,589,17,7,"41.2%",10,"58.8%",401,2243,1260,26,24,13,19,11,388,35
119,"2022-2023","Cádiz","W","70%",708,61,185,325,204,40,708,31,14,"45.2%",14,"45.2%",443,2768,1759,35,26,12,12,3,501,60
120,"2022-2023","Elche","W","76%",864,18,84,382,401,56,864,18,7,"38.9%",10,"55.6%",580,3528,2148,47,37,13,13,4,670,85
121,"2022-2023","Mallorca","W","71%",883,45,131,551,207,23,883,14,5,"35.7%",6,"42.9%",630,3019,1562,12,21,5,16,8,733,48
122,"2022-2023","Celta Vigo","W","57%",744,64,149,380,222,26,744,20,11,"55.0%",8,"40.0%",488,2591,1269,18,17,10,20,4,521,56
123,"2022-2023","Real Madrid","L","56%",671,46,130,333,214,28,671,23,12,"52.2%",6,"26.1%",506,2721,1537,25,21,12,15,10,504,53
124,"2022-2023","Villarreal","W","69%",890,32,145,466,282,32,890,19,8,"42.1%",9,"47.4%",486,2501,1486,20,20,4,11,7,740,74
125,"2022-2023","Athletic Club","W","65%",791,78,306,386,108,22,791,15,8,"53.3%",5,"33.3%",576,3183,1530,29,15,6,11,7,623,43
126,"2022-2023","Valencia","W","67%",727,51,210,323,206,38,727,30,15,"50.0%",15,"50.0%",539,3031,1600,23,25,10,16,9,532,62
127,"2022-2023","Almería","W","70%",867,31,92,453,326,62,866,21,15,"71.4%",2,"9.5%",597,3114,1716,29,27,14,17,11,672,80
128,"2022-2023","Osasuna","W","53%",636,68,231,280,133,18,636,17,7,"41.2%",5,"29.4%",426,2423,1376,19,19,4,14,5,435,38
129,"2022-2023","Espanyol","D","77%",777,53,176,427,178,35,777,18,7,"38.9%",10,"55.6%",567,3162,1732,30,19,12,7,7,608,61
130,"2022-2023","Atlético Madrid","W","58%",805,104,309,377,124,17,805,17,8,"47.1%",8,"47.1%",545,2820,1301,23,18,3,16,16,561,31
131,"2022-2023","Getafe","W","67%",928,37,161,534,241,20,928,16,9,"56.3%",6,"37.5%",689,3243,1805,31,16,6,16,9,735,66
132,"2022-2023","Girona","W","59%",708,44,161,353,199,19,708,14,5,"35.7%",7,"50.0%",364,1488,778,10,8,2,18,5,526,60
133,"2022-2023","Betis","W","63%",779,46,176,423,190,34,779,21,11,"52.4%",9,"42.9%",540,2863,1626,31,22,9,12,14,584,60
134,"2022-2023","Sevilla","W","65%",819,44,164,444,218,31,819,25,13,"52.0%",8,"32.0%",481,2536,1336,25,26,4,16,12,634,54
135,"2022-2023","Villarreal","W","46%",536,61,213,227,103,15,536,24,11,"45.8%",8,"33.3%",353,1828,884,19,16,7,15,5,334,28
136,"2022-2023","Cádiz","W","64%",743,70,203,360,182,40,743,30,19,"63.3%",6,"20.0%",399,2389,1441,32,25,10,22,6,560,68
137,"2022-2023","Almería","L","72%",722,39,150,319,259,30,722,15,11,"73.3%",3,"20.0%",477,2797,1827,35,30,5,11,8,529,72
138,"2022-2023","Valencia","W","53%",609,62,183,288,141,14,608,25,11,"44.0%",13,"52.0%",425,1924,1068,10,8,2,17,11,406,41
139,"2022-2023","Athletic Club","W","62%",731,83,273,335,128,16,731,36,15,"41.7%",15,"41.7%",464,2352,1170,16,13,3,15,11,509,45
140,"2022-2023","Real Madrid","W","54%",706,63,160,332,222,28,706,24,18,"75.0%",5,"20.8%",452,2376,1277,23,21,2,12,9,517,59
141,"2022-2023","Elche","W","59%",694,97,272,314,114,19,694,20,12,"60.0%",6,"30.0%",455,2244,1129,13,17,6,19,13,477,32
142,"2022-2023","Girona","D","59%",651,42,147,282,225,30,651,17,4,"23.5%",9,"52.9%",433,2336,1303,22,20,4,7,8,463,65
143,"2022-2023","Getafe","D","65%",626,45,137,319,178,18,626,15,6,"40.0%",7,"46.7%",403,2384,1394,20,20,2,14,10,421,44
144,"2022-2023","Atlético Madrid","W","62%",747,51,149,437,167,36,747,29,15,"51.7%",12,"41.4%",407,2188,1289,23,12,6,13,10,547,56
145,"2022-2023","Rayo Vallecano","L","60%",635,56,228,290,127,14,635,21,11,"52.4%",8,"38.1%",328,2210,1272,23,20,3,19,14,417,48
146,"2022-2023","Betis","W","67%",777,24,113,421,253,34,777,15,5,"33.3%",9,"60.0%",560,2668,1434,26,27,4,9,9,616,73
147,"2022-2023","Osasuna","W","76%",781,44,133,313,337,55,781,15,9,"60.0%",5,"33.3%",581,3386,2095,48,33,16,5,7,595,82
148,"2022-2023","Espanyol","W","69%",851,75,229,461,162,32,851,19,6,"31.6%",12,"63.2%",721,3717,1526,23,14,9,17,8,684,60
149,"2022-2023","Real Sociedad","L","67%",797,48,183,425,198,25,797,35,20,"57.1%",11,"31.4%",498,2761,1472,29,17,5,14,6,608,43
150,"2022-2023","Valladolid","L","69%",753,55,189,355,215,24,753,13,5,"38.5%",5,"38.5%",508,2633,1411,19,22,6,8,6,572,54
151,"2022-2023","Mallorca","W","78%",853,22,88,303,470,63,853,21,13,"61.9%",8,"38.1%",655,2976,1797,41,29,14,8,3,674,90
152,"2022-2023","Celta Vigo","L","71%",786,48,165,477,148,14,786,21,10,"47.6%",8,"38.1%",466,2950,1612,23,15,3,23,7,604,66
153,"2023-2024","Getafe","D","74%",856,52,193,471,203,22,856,21,12,"57.1%",7,"33.3%",582,3310,1980,34,26,5,15,4,670,49
154,"2023-2024","Cádiz","W","74%",748,38,119,325,311,40,748,19,12,"63.2%",3,"15.8%",522,3058,1703,40,42,11,16,8,579,58
155,"2023-2024","Villarreal","W","60%",730,43,157,384,198,37,730,14,11,"78.6%",3,"21.4%",478,2582,1472,25,22,8,11,13,551,57
156,"2023-2024","Osasuna","W","69%",818,75,239,358,225,20,817,17,12,"70.6%",3,"17.6%",614,2670,1554,18,22,6,18,13,615,41
157,"2023-2024","Betis","W","65%",800,59,223,390,193,34,800,31,17,"54.8%",13,"41.9%",371,2437,1548,31,22,11,10,3,613,50
158,"2023-2024","Celta Vigo","W","74%",941,51,150,532,265,12,941,14,7,"50.0%",6,"42.9%",690,3618,2075,30,26,3,15,6,765,69
159,"2023-2024","Mallorca","D","69%",734,37,125,429,189,21,734,27,12,"44.4%",13,"48.1%",490,2718,1628,29,16,2,22,15,513,53
160,"2023-2024","Sevilla","W","58%",643,61,194,268,186,34,643,28,16,"57.1%",10,"35.7%",397,2348,1301,21,15,10,17,10,426,49
161,"2023-2024","Granada","D","80%",928,26,133,469,330,33,928,23,13,"56.5%",6,"26.1%",581,3550,2261,44,39,6,21,10,721,51
162,"2023-2024","Athletic Club","W","62%",682,56,287,297,104,19,682,18,8,"44.4%",6,"33.3%",427,1984,1145,17,8,6,22,4,482,35
163,"2023-2024","Real Madrid","L","53%",686,69,211,388,92,13,686,14,6,"42.9%",3,"21.4%",443,2333,1264,18,13,1,14,11,497,28
164,"2023-2024","Real Sociedad","W","49%",542,86,251,202,97,16,542,27,15,"55.6%",10,"37.0%",248,1376,747,13,9,4,27,10,348,31
165,"2023-2024","Alavés","W","71%",894,40,140,454,306,33,893,26,15,"57.7%",8,"30.8%",589,3535,2115,47,37,13,28,3,687,69
166,"2023-2024","Rayo Vallecano","D","67%",745,55,182,376,192,32,745,28,15,"53.6%",11,"39.3%",423,2379,1466,30,15,7,21,11,556,52
167,"2023-2024","Atlético Madrid","W","58%",748,56,163,359,234,23,748,31,13,"41.9%",15,"48.4%",335,2015,1107,30,24,7,12,4,570,61
168,"2023-2024","Girona","L","54%",684,57,158,328,207,54,684,21,12,"57.1%",7,"33.3%",447,2487,1418,31,16,7,15,7,496,55
169,"2023-2024","Valencia","D","63%",718,51,202,326,194,41,718,17,6,"35.3%",10,"58.8%",359,2186,1231,22,16,6,25,7,507,69
170,"2023-2024","Almería","W","65%",724,45,128,381,223,45,724,22,10,"45.5%",9,"40.9%",395,2607,1529,31,24,9,12,11,546,51
171,"2023-2024","Las Palmas","W","56%",641,49,161,330,153,45,640,20,10,"50.0%",5,"25.0%",426,2690,1377,30,13,15,12,5,437,48
172,"2023-2024","Betis","W","63%",728,57,207,373,156,20,728,26,9,"34.6%",9,"34.6%",328,2255,1524,29,18,6,8,7,523,53
173,"2023-2024","Villarreal","L","70%",830,43,164,399,272,35,830,28,13,"46.4%",10,"35.7%",501,2409,1343,33,20,5,18,3,612,61
174,"2023-2024","Osasuna","W","68%",774,56,203,372,203,25,774,16,7,"43.8%",3,"18.8%",519,2581,1287,20,17,5,17,11,582,42
175,"2023-2024","Alavés","W","64%",689,107,245,298,150,20,689,12,2,"16.7%",7,"58.3%",483,2473,1272,13,16,3,10,7,502,29
176,"2023-2024","Granada","D","65%",762,58,201,375,190,27,762,17,6,"35.3%",8,"47.1%",510,2686,1373,19,16,2,10,9,562,55
177,"2023-2024","Celta Vigo","W","66%",837,56,197,470,176,25,836,18,3,"16.7%",13,"72.2%",476,2624,1591,28,16,5,14,6,594,70
178,"2023-2024","Getafe","W","67%",743,104,300,322,126,37,743,21,5,"23.8%",13,"61.9%",467,2283,1048,23,6,9,18,8,519,30
179,"2023-2024","Athletic Club","D","60%",706,89,304,296,111,17,706,18,11,"61.1%",7,"38.9%",468,2335,1413,15,14,5,20,9,499,38
